OID_,ELEMENT,SUBELEMENT,NAME,Scientific_name,SF,NHP,DATE_PUB,CONC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC_,SEASSUM,Spawning,Eggs,Larvae,Juveniles,Adults,RARNUM,BREED
1,FISH,Diadromous Fish,Atlantic sturgeon,Acipenser oxyrinchus,Federal Species of Special Concern,G3,200412,-, , , ,X,X,X,X,X,X,X, , ,Apr-Oct,-,-,MAY-AUG,-,APR-OCT,52000104,5200043
2,FISH,Marine Benthic Fish,Atlantic tomcod,Microgadus tomcod, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,DEC-JAN,DEC-FEB,JAN-APR,MAY-AUG,JAN-DEC,52000104,5200036
3,FISH,Estuarine Nursery Fish,Bay anchovy,Anchoa mitchilli, , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,MAY-SEP,MAY-SEP,JUN-SEP,AUG-OCT,JAN-DEC,52000104,5200048
4,FISH,Diadromous Fish,Blueback herring,Alosa aestivalis, ,G5,200412,-, , ,X,X,X,X,X,X,X,X,X,X,Mar-Dec,-,-,-,MAY-DEC,MAR-JUL,52000104,5200025
5,FISH,Estuarine Nursery Fish,Bluefish,Pomatomus saltatrix, , ,0,-, , , , , ,X,X,X,X,X, , ,Jun-Oct,-,-,-,JUN-OCT,-,52000104,5200018
6,FISH,Freshwater Fish,Bluegill,Lepomis macrochirus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000104,5200069
7,FISH,Freshwater Fish,Brown bullhead,Ameiurus nebulosus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000104,5200074
8,FISH,Freshwater Fish,Channel catfish,Ictalurus punctatus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000104,5200072
9,FISH,Freshwater Fish,Common carp,Cyprinus carpio, , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000104,5200058
10,FISH,Estuarine Resident,Fourspine stickleback,Apeltes quadracus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,MAR-MAY,-,-,-,JAN-DEC,52000104,5200032
11,FISH,Marine Benthic Fish,Gobies, , , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000104,5200092
12,FISH,Freshwater Fish,Golden shiner,Notemigonus crysoleucas, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000104,5200079
13,FISH,Estuarine Nursery Fish,Hogchoker,Trinectes maculatus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,MAY-OCT,JAN-DEC,NOV-APR,52000104,5200082
14,FISH,Estuarine Resident,Killifish,Fundulus spp., , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,JUN-AUG,-,-,-,JAN-DEC,52000104,5200076
15,FISH,Freshwater Fish,Largemouth bass,Micropterus salmoides, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000104,5200063
16,FISH,Freshwater Fish,Pumpkinseed,Lepomis gibbosus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,JUN-AUG,-,-,-,JAN-DEC,52000104,5200075
17,FISH,Freshwater Fish,Rainbow smelt,Osmerus mordax, ,G5,200412,RARE,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,JAN-DEC,OCT-APR,52000104,5200019
18,FISH,Diadromous Fish,Shortnose sturgeon,Acipenser brevirostrum,State/Federal Endangered List,G3,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,MAY-AUG,MAY-AUG,JAN-DEC,52000104,5200039
19,FISH,Estuarine Resident,Silversides, , , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000104,5200077
20,FISH,Freshwater Fish,Smallmouth bass,Micropterus dolomieu, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000104,5200066
21,FISH,Freshwater Fish,Spottail shiner,Notropis hudsonius, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000104,5200060
22,FISH,Diadromous Fish,Striped bass,Morone saxatilis, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,APR-JUN,APR-JUN,APR-JUN,JAN-DEC,MAR-NOV,52000104,5200045
23,FISH,Estuarine Nursery Fish,Summer flounder,Paralichthys dentatus, , ,0,-, , , , ,X,X,X,X, , , , ,May-Aug,-,-,-,-,MAY-AUG,52000104,5200047
24,FISH,Estuarine Resident,Threespine stickleback,Gasterosteus aculeatus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,MAR-MAY,-,-,-,JAN-DEC,52000104,5200031
25,FISH,Freshwater Fish,Walleye,Stizostedion vitreum vitreum, , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000104,5200071
26,FISH,Freshwater Fish,White catfish,Ameiurus catus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000104,5200085
27,FISH,Estuarine Nursery Fish,White perch,Morone americana, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,MAY-JUL,MAY-JUL,MAY-JUL,JAN-DEC,JAN-DEC,52000104,5200053
28,FISH,Freshwater Fish,Yellow perch,Perca flavescens, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000104,5200056
29,FISH,Diadromous Fish,Alewife,Alosa pseudoharengus, ,G5,200412,-, , ,X,X,X,X,X,X,X,X,X,X,Mar-Dec,-,-,APR-JUN,MAY-DEC,MAR-JUL,52000105,5200022
30,FISH,Diadromous Fish,American eel,Anguilla rostrata, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,JAN-DEC,-,52000105,5200034
31,FISH,Diadromous Fish,American shad,Alosa sapidissima, ,G5,200412,-, , ,X,X,X,X,X,X,X,X,X,X,Mar-Dec,-,-,-,MAY-DEC,MAR-JUL,52000105,5200028
32,FISH,Estuarine Nursery Fish,Atlantic menhaden,Brevoortia tyrannus, , ,0,-, , , , ,X,X,X,X, , , , ,May-Aug,-,-,-,MAY-AUG,MAY-AUG,52000105,5200049
33,FISH,Diadromous Fish,Atlantic sturgeon,Acipenser oxyrinchus,Federal Species of Special Concern,G3,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,JAN-DEC,APR-OCT,52000105,5200041
34,FISH,Marine Benthic Fish,Atlantic tomcod,Microgadus tomcod, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,DEC-JAN,DEC-FEB,JAN-APR,MAY-AUG,JAN-DEC,52000105,5200036
35,FISH,Estuarine Nursery Fish,Bay anchovy,Anchoa mitchilli, , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,MAY-SEP,MAY-SEP,JUN-SEP,AUG-OCT,JAN-DEC,52000105,5200048
36,FISH,Diadromous Fish,Blueback herring,Alosa aestivalis, ,G5,200412,-, , ,X,X,X,X,X,X,X,X,X,X,Mar-Dec,-,-,-,MAY-DEC,MAR-JUL,52000105,5200025
37,FISH,Estuarine Nursery Fish,Bluefish,Pomatomus saltatrix, , ,0,-, , , , , ,X,X,X,X,X, , ,Jun-Oct,-,-,-,JUN-OCT,JUN-SEP,52000105,5200017
38,FISH,Freshwater Fish,Common carp,Cyprinus carpio, , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000105,5200058
39,FISH,Estuarine Resident,Fourspine stickleback,Apeltes quadracus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,MAR-MAY,-,-,-,JAN-DEC,52000105,5200032
40,FISH,Marine Benthic Fish,Gobies, , , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000105,5200092
41,FISH,Estuarine Nursery Fish,Hogchoker,Trinectes maculatus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,MAY-OCT,JAN-DEC,NOV-APR,52000105,5200082
42,FISH,Estuarine Resident,Killifish,Fundulus spp., , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,JUN-AUG,-,-,-,JAN-DEC,52000105,5200076
43,FISH,Freshwater Fish,Rainbow smelt,Osmerus mordax, ,G5,200412,RARE,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,JAN-DEC,OCT-APR,52000105,5200019
44,FISH,Diadromous Fish,Shortnose sturgeon,Acipenser brevirostrum,State/Federal Endangered List,G3,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,MAY-AUG,MAY-AUG,JAN-DEC,52000105,5200039
45,FISH,Estuarine Resident,Silversides, , , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000105,5200077
46,FISH,Diadromous Fish,Striped bass,Morone saxatilis, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,APR-JUN,JAN-DEC,JAN-DEC,52000105,5200046
47,FISH,Estuarine Nursery Fish,Summer flounder,Paralichthys dentatus, , ,0,-, , , , ,X,X,X,X, , , , ,May-Aug,-,-,-,-,MAY-AUG,52000105,5200047
48,FISH,Estuarine Resident,Threespine stickleback,Gasterosteus aculeatus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,MAR-MAY,-,-,-,JAN-DEC,52000105,5200031
49,FISH,Freshwater Fish,Walleye,Stizostedion vitreum vitreum, , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000105,5200071
50,FISH,Freshwater Fish,White catfish,Ameiurus catus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000105,5200085
51,FISH,Estuarine Nursery Fish,White perch,Morone americana, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,MAY-JUL,MAY-JUL,MAY-JUL,JAN-DEC,JAN-DEC,52000105,5200053
52,FISH,Estuarine Nursery Fish,Atlantic menhaden,Brevoortia tyrannus, , ,0,-, , , , ,X,X,X,X, , , , ,May-Aug,-,-,-,MAY-AUG,MAY-AUG,52000106,5200049
53,FISH,Marine Benthic Fish,Atlantic tomcod,Microgadus tomcod, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,DEC-JAN,DEC-FEB,JAN-APR,MAY-AUG,JAN-DEC,52000106,5200036
54,FISH,Estuarine Nursery Fish,Bay anchovy,Anchoa mitchilli, , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,MAY-SEP,MAY-SEP,JUN-SEP,AUG-OCT,JAN-DEC,52000106,5200048
55,FISH,Estuarine Nursery Fish,Bluefish,Pomatomus saltatrix, , ,0,-, , , , , ,X,X,X,X,X, , ,Jun-Oct,-,-,-,JUN-OCT,JUN-SEP,52000106,5200017
56,FISH,Freshwater Fish,Common carp,Cyprinus carpio, , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000106,5200058
57,FISH,Estuarine Resident,Fourspine stickleback,Apeltes quadracus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,MAR-MAY,-,-,-,JAN-DEC,52000106,5200032
58,FISH,Marine Benthic Fish,Gobies, , , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000106,5200092
59,FISH,Estuarine Nursery Fish,Hogchoker,Trinectes maculatus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,MAY-OCT,JAN-DEC,NOV-APR,52000106,5200082
60,FISH,Estuarine Resident,Killifish,Fundulus spp., , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,JUN-AUG,-,-,-,JAN-DEC,52000106,5200076
61,FISH,Freshwater Fish,Rainbow smelt,Osmerus mordax, ,G5,200412,RARE,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,JAN-DEC,OCT-APR,52000106,5200019
62,FISH,Estuarine Resident,Silversides, , , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000106,5200077
63,FISH,Estuarine Nursery Fish,Summer flounder,Paralichthys dentatus, , ,0,-, , , , ,X,X,X,X, , , , ,May-Aug,-,-,-,-,MAY-AUG,52000106,5200047
64,FISH,Estuarine Resident,Threespine stickleback,Gasterosteus aculeatus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,MAR-MAY,-,-,-,JAN-DEC,52000106,5200031
65,FISH,Freshwater Fish,Walleye,Stizostedion vitreum vitreum, , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000106,5200071
66,FISH,Freshwater Fish,White catfish,Ameiurus catus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000106,5200085
67,FISH,Estuarine Nursery Fish,White perch,Morone americana, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,MAY-JUL,MAY-JUL,MAY-JUL,JAN-DEC,JAN-DEC,52000106,5200053
68,FISH,Estuarine Nursery Fish,Atlantic menhaden,Brevoortia tyrannus, , ,0,-, , , , ,X,X,X,X, , , , ,May-Aug,-,-,-,MAY-AUG,MAY-AUG,52000107,5200049
69,FISH,Marine Benthic Fish,Atlantic tomcod,Microgadus tomcod, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,DEC-JAN,DEC-FEB,JAN-APR,MAY-AUG,JAN-DEC,52000107,5200036
70,FISH,Estuarine Nursery Fish,Bay anchovy,Anchoa mitchilli, , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,MAY-SEP,MAY-SEP,JUN-SEP,AUG-OCT,JAN-DEC,52000107,5200048
71,FISH,Estuarine Nursery Fish,Bluefish,Pomatomus saltatrix, , ,0,-, , , , , ,X,X,X,X,X, , ,Jun-Oct,-,-,-,JUN-OCT,JUN-SEP,52000107,5200017
72,FISH,Freshwater Fish,Bluegill,Lepomis macrochirus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000107,5200069
73,FISH,Freshwater Fish,Brown bullhead,Ameiurus nebulosus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000107,5200074
74,FISH,Freshwater Fish,Channel catfish,Ictalurus punctatus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000107,5200072
75,FISH,Freshwater Fish,Common carp,Cyprinus carpio, , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000107,5200058
76,FISH,Estuarine Resident,Fourspine stickleback,Apeltes quadracus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,MAR-MAY,-,-,-,JAN-DEC,52000107,5200032
77,FISH,Marine Benthic Fish,Gobies, , , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000107,5200092
78,FISH,Estuarine Nursery Fish,Hogchoker,Trinectes maculatus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,MAY-OCT,JAN-DEC,NOV-APR,52000107,5200082
79,FISH,Estuarine Resident,Killifish,Fundulus spp., , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,JUN-AUG,-,-,-,JAN-DEC,52000107,5200076
80,FISH,Freshwater Fish,Largemouth bass,Micropterus salmoides, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000107,5200063
81,FISH,Freshwater Fish,Pumpkinseed,Lepomis gibbosus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,JUN-AUG,-,-,-,JAN-DEC,52000107,5200075
82,FISH,Freshwater Fish,Rainbow smelt,Osmerus mordax, ,G5,200412,RARE,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,JAN-DEC,OCT-APR,52000107,5200019
83,FISH,Estuarine Resident,Silversides, , , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000107,5200077
84,FISH,Freshwater Fish,Smallmouth bass,Micropterus dolomieu, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000107,5200066
85,FISH,Estuarine Nursery Fish,Summer flounder,Paralichthys dentatus, , ,0,-, , , , ,X,X,X,X, , , , ,May-Aug,-,-,-,-,MAY-AUG,52000107,5200047
86,FISH,Estuarine Resident,Threespine stickleback,Gasterosteus aculeatus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,MAR-MAY,-,-,-,JAN-DEC,52000107,5200031
87,FISH,Freshwater Fish,Walleye,Stizostedion vitreum vitreum, , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000107,5200071
88,FISH,Freshwater Fish,White catfish,Ameiurus catus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000107,5200085
89,FISH,Estuarine Nursery Fish,White perch,Morone americana, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,MAY-JUL,MAY-JUL,MAY-JUL,JAN-DEC,JAN-DEC,52000107,5200053
90,FISH,Diadromous Fish,Alewife,Alosa pseudoharengus, ,G5,200412,-, , ,X,X,X,X,X,X,X,X,X,X,Mar-Dec,-,-,APR-JUN,MAY-DEC,MAR-JUL,52000108,5200022
91,FISH,Diadromous Fish,American eel,Anguilla rostrata, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,JAN-DEC,-,52000108,5200034
92,FISH,Diadromous Fish,American shad,Alosa sapidissima, ,G5,200412,-, , ,X,X,X,X,X,X,X,X,X,X,Mar-Dec,-,-,-,MAY-DEC,MAR-JUL,52000108,5200028
93,FISH,Estuarine Nursery Fish,Atlantic menhaden,Brevoortia tyrannus, , ,0,-, , , , ,X,X,X,X, , , , ,May-Aug,-,-,-,MAY-AUG,MAY-AUG,52000108,5200049
94,FISH,Diadromous Fish,Atlantic sturgeon,Acipenser oxyrinchus,Federal Species of Special Concern,G3,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,JAN-DEC,APR-OCT,52000108,5200041
95,FISH,Marine Benthic Fish,Atlantic tomcod,Microgadus tomcod, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,DEC-JAN,DEC-FEB,JAN-APR,MAY-AUG,JAN-DEC,52000108,5200036
96,FISH,Estuarine Nursery Fish,Bay anchovy,Anchoa mitchilli, , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,MAY-SEP,MAY-SEP,JUN-SEP,AUG-OCT,JAN-DEC,52000108,5200048
97,FISH,Diadromous Fish,Blueback herring,Alosa aestivalis, ,G5,200412,-, , ,X,X,X,X,X,X,X,X,X,X,Mar-Dec,-,-,-,MAY-DEC,MAR-JUL,52000108,5200025
98,FISH,Estuarine Nursery Fish,Bluefish,Pomatomus saltatrix, , ,0,-, , , , , ,X,X,X,X,X, , ,Jun-Oct,-,-,-,JUN-OCT,JUN-SEP,52000108,5200017
99,FISH,Estuarine Resident,Fourspine stickleback,Apeltes quadracus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,MAR-MAY,-,-,-,JAN-DEC,52000108,5200032
100,FISH,Marine Benthic Fish,Gobies, , , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000108,5200092
101,FISH,Estuarine Nursery Fish,Hogchoker,Trinectes maculatus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,MAY-OCT,JAN-DEC,NOV-APR,52000108,5200082
102,FISH,Estuarine Resident,Killifish,Fundulus spp., , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,JUN-AUG,-,-,-,JAN-DEC,52000108,5200076
103,FISH,Freshwater Fish,Rainbow smelt,Osmerus mordax, ,G5,200412,RARE,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,JAN-DEC,OCT-APR,52000108,5200019
104,FISH,Diadromous Fish,Shortnose sturgeon,Acipenser brevirostrum,State/Federal Endangered List,G3,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,MAY-AUG,MAY-AUG,JAN-DEC,52000108,5200039
105,FISH,Estuarine Resident,Silversides, , , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000108,5200077
106,FISH,Diadromous Fish,Striped bass,Morone saxatilis, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,APR-JUN,JAN-DEC,JAN-DEC,52000108,5200046
107,FISH,Estuarine Nursery Fish,Summer flounder,Paralichthys dentatus, , ,0,-, , , , ,X,X,X,X, , , , ,May-Aug,-,-,-,-,MAY-AUG,52000108,5200047
108,FISH,Estuarine Resident,Threespine stickleback,Gasterosteus aculeatus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,MAR-MAY,-,-,-,JAN-DEC,52000108,5200031
109,FISH,Estuarine Nursery Fish,White perch,Morone americana, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,MAY-JUL,MAY-JUL,MAY-JUL,JAN-DEC,JAN-DEC,52000108,5200053
110,FISH,Diadromous Fish,Alewife,Alosa pseudoharengus, ,G5,200412,-, , ,X,X,X,X,X,X,X,X,X,X,Mar-Dec,-,-,APR-JUN,MAY-DEC,MAR-JUL,52000109,5200022
111,FISH,Diadromous Fish,American eel,Anguilla rostrata, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,JAN-DEC,-,52000109,5200034
